City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitud,Max Temperature,Wind Speed
0,Arnprior,20,CA,1580603303,92,45.43,-76.35,-1.67,2.1
1,Iqaluit,90,CA,1580603303,78,63.75,-68.51,-11.0,4.6
2,Lorengau,83,PG,1580603303,78,-2.02,147.27,29.04,7.38
3,Ushuaia,40,AR,1580603113,66,-54.8,-68.3,11.0,8.2
4,Hilo,90,US,1580603303,61,19.73,-155.09,25.0,2.1
5,Puerto Ayora,20,EC,1580603303,74,-0.74,-90.35,27.0,8.2
6,Carnarvon,0,AU,1580603304,48,-24.87,113.63,29.0,5.7
7,Karratha,32,AU,1580603304,72,-20.74,116.85,26.99,4.99
8,Tuktoyaktuk,40,CA,1580603304,74,69.45,-133.04,-33.0,5.1
9,Mikhaylovka,100,RU,1580603304,95,50.06,43.24,1.67,3.07
10,Albany,90,US,1580603292,69,42.6,-73.97,2.0,1.1
11,Mahebourg,75,MU,1580603304,83,-20.41,57.7,26.0,3.1
12,Weligama,100,LK,1580603305,80,5.97,80.42,21.62,3.87
13,Arraial do Cabo,88,BR,1580603305,85,-22.97,-42.03,26.73,4.63
14,Busselton,0,AU,1580603305,69,-33.65,115.33,17.22,0.45
15,Punta Arenas,85,CL,1580603305,62,-53.15,-70.92,12.0,5.1
16,Kapaa,90,US,1580603132,94,22.08,-159.32,26.0,8.2
17,Kavieng,51,PG,1580603305,74,-2.57,150.8,29.03,6.67
18,Hermanus,31,ZA,1580603306,88,-34.42,19.23,22.22,2.68
19,Karabuk,96,TR,1580603306,88,41.2,32.63,-0.37,2.48
20,Cerro de Pasco,98,PE,1580603306,95,-10.68,-76.27,6.26,2.75
21,Rikitea,72,PF,1580603306,78,-23.12,-134.97,26.42,5.75
22,Saint George,1,US,1580603295,25,37.1,-113.58,18.0,1.72
23,Castro,31,BR,1580603307,98,-24.79,-50.01,19.07,3.17
24,Pangnirtung,100,CA,1580603307,97,66.15,-65.71,-20.49,1.94
25,Butaritari,94,KI,1580603307,77,3.07,172.79,28.92,7.54
26,Nikolskoye,90,RU,1580603307,96,59.7,30.79,1.11,4.0
27,Mataura,100,NZ,1580603308,93,-46.19,168.86,14.44,6.26
28,Kodiak,1,US,1580603308,49,57.79,-152.41,-3.0,10.3
29,Anadyr,20,RU,1580603308,65,64.75,177.48,-40.0,3.0
30,Lebu,75,CL,1580603308,70,-37.62,-73.65,15.35,2.55
31,Anuradhapura,100,LK,1580603308,93,8.36,80.42,20.03,1.95
32,Vaini,40,TO,1580603309,78,-21.2,-175.2,28.0,4.1
33,Malanje,99,AO,1580603309,85,-9.54,16.34,18.34,2.05
34,Bredasdorp,83,ZA,1580603309,78,-34.53,20.04,22.22,6.7
35,Kaitangata,100,NZ,1580603309,96,-46.28,169.85,12.73,6.61
36,Jamestown,90,US,1580603193,80,42.1,-79.24,-0.56,3.1
37,Esperance,90,AU,1580603309,68,-33.87,121.9,18.0,0.5
38,Ponta do Sol,20,PT,1580603310,32,32.67,-17.1,21.11,4.1
39,Cape Town,25,ZA,1580603084,88,-33.93,18.42,19.44,3.1
40,Sabha,0,LY,1580603310,29,27.04,14.43,15.92,4.45
41,La Asuncion,40,VE,1580603310,88,11.03,-63.86,27.0,4.72
42,Cherskiy,100,RU,1580603310,97,68.75,161.3,-34.24,2.15
43,New Norfolk,40,AU,1580603310,35,-42.78,147.06,21.0,9.8
44,Los Llanos de Aridane,0,ES,1580603311,43,28.66,-17.92,22.0,3.1
45,Urucara,85,BR,1580603311,91,-2.54,-57.76,25.31,0.44
46,Berlevag,100,NO,1580603311,83,70.86,29.09,-6.5,10.07
47,Bereznik,79,RU,1580603311,98,62.86,42.71,-24.21,3.22
48,Chokurdakh,100,RU,1580603311,98,70.63,147.92,-27.34,2.61
49,Bluff,100,NZ,1580603312,93,-46.6,168.33,14.44,6.26
50,Port Elizabeth,90,ZA,1580603312,94,-33.92,25.57,22.0,4.6
51,Singapore,75,SG,1580603195,83,1.29,103.85,27.0,4.1
52,Hobart,40,AU,1580603312,35,-42.88,147.33,21.0,9.8
53,Barrow,75,US,1580603312,95,71.29,-156.79,-34.0,3.6
54,Tasiilaq,100,GL,1580603312,85,65.61,-37.64,-6.0,10.3
55,Lagoa,100,PT,1580603313,69,39.05,-27.98,15.49,6.79
56,Avarua,8,CK,1580603313,74,-21.21,-159.78,29.0,3.1
57,Bulgan,0,MN,1580603313,78,48.81,103.53,-26.0,1.46
58,Caravelas,3,BR,1580603313,86,-17.71,-39.25,26.72,6.92
59,Vostok,100,RU,1580603314,93,46.49,135.88,-17.23,2.11
60,Cockburn Town,40,TC,1580603055,74,21.46,-71.14,26.0,2.6
61,Beringovskiy,17,RU,1580603314,92,63.05,179.32,-31.23,9.62
62,Qaanaaq,97,GL,1580603314,84,77.48,-69.36,-31.25,2.78
63,Avanuorri,100,NO,1580603314,67,71.0,24.66,-7.0,17.5
64,Norman Wells,75,CA,1580603198,68,65.28,-126.83,-29.0,7.2
65,'Ahuimanu,90,US,1580603315,83,21.44,-157.84,27.78,9.3
66,Portland,90,US,1580603247,70,45.52,-122.68,9.44,3.1
67,Saint George's,40,GD,1580603039,83,12.06,-61.75,26.0,5.1
68,Westport,90,US,1580603315,93,41.14,-73.36,5.0,1.5
69,Tamandare,94,BR,1580603315,82,-8.76,-35.1,27.63,6.01
70,Atuona,0,PF,1580603315,75,-9.8,-139.03,27.54,8.28
71,Mount Gambier,61,AU,1580603316,72,-37.83,140.77,19.0,8.2
72,Camocim,62,BR,1580603316,90,-2.9,-40.84,24.05,1.8
73,Tayshet,97,RU,1580603316,100,55.93,98.0,-28.39,0.8
74,Yartsevo,100,RU,1580603316,97,55.07,32.7,2.01,4.79
75,Provideniya,85,RU,1580603316,92,64.38,-173.3,-26.67,4.63
76,East London,88,ZA,1580603316,90,-33.02,27.91,24.7,2.17
77,Garoowe,98,SO,1580603317,70,8.41,48.48,19.56,5.03
78,Lavrentiya,100,RU,1580603317,86,65.58,-171.0,-26.25,4.72
79,Port-Cartier,90,CA,1580603317,92,50.03,-66.87,-7.0,1.5
80,Rogozno,75,PL,1580603317,70,52.75,16.99,8.33,8.7
81,Ninghai,36,CN,1580603317,75,29.29,121.42,6.11,1.0
82,Nouadhibou,0,MR,1580603317,48,20.93,-17.03,19.0,4.6
83,Khatanga,58,RU,1580603318,96,71.97,102.5,-33.62,5.03
84,Ginir,83,ET,1580603318,60,7.13,40.7,16.89,2.13
85,Adolfo Lopez Mateos,100,MX,1580603318,23,28.47,-107.3,8.89,6.18
86,Hammerfest,100,NO,1580603147,67,70.66,23.68,-7.0,17.5
87,Poum,100,NC,1580603318,80,-20.23,164.02,27.43,10.34
88,Haines Junction,100,CA,1580603319,96,60.75,-137.51,-21.91,2.87
89,George Town,40,MY,1580603319,78,5.41,100.34,27.0,1.0
90,Rocha,0,UY,1580603319,81,-34.48,-54.33,18.7,3.42
91,Reyes,100,BO,1580603319,98,-14.32,-67.38,23.46,0.29
92,Mar del Plata,60,AR,1580603282,47,-38.0,-57.56,26.11,5.1
93,Dikson,44,RU,1580603319,96,73.51,80.55,-25.95,5.64
94,Khuzdar,0,PK,1580603320,60,27.74,66.64,4.65,0.93
95,Port Alfred,97,ZA,1580603320,97,-33.59,26.89,22.22,2.44
96,Yellowknife,75,CA,1580603320,75,62.46,-114.35,-25.0,3.6
97,Laurel,90,US,1580603078,86,39.1,-76.85,7.0,2.6
98,Monforte de Lemos,100,ES,1580603320,91,42.52,-7.51,15.0,1.69
99,Hanford,1,US,1580603205,49,36.33,-119.65,21.11,1.5
100,Longyearbyen,90,SJ,1580603111,92,78.22,15.64,-9.0,3.6
101,Yangi Marg`ilon,81,UZ,1580603321,74,40.43,71.72,-1.0,1.0
102,Cidreira,9,BR,1580603208,75,-30.18,-50.21,24.0,7.76
103,Antofagasta,84,CL,1580603321,72,-23.65,-70.4,22.22,4.6
104,Metro,100,ID,1580603321,92,-5.11,105.31,24.22,3.26
105,Najran,37,SA,1580603283,51,17.49,44.13,15.0,0.54
106,Eureka,90,US,1580603142,93,40.8,-124.16,13.89,2.1
107,Diego de Almagro,0,CL,1580603322,45,-26.37,-70.05,18.73,1.51
108,Virginia Beach,90,US,1580603322,87,36.85,-75.98,8.0,4.29
109,Marabu,75,MY,1580603323,94,4.41,114.01,26.0,3.4
110,Nideggen,90,DE,1580603323,81,50.7,6.48,9.44,7.2
111,Thompson,90,CA,1580603323,85,55.74,-97.86,-11.0,2.1
112,Bjornevatn,100,NO,1580603323,78,69.67,29.98,-11.0,9.3
113,Tiksi,0,RU,1580603323,85,71.69,128.87,-32.43,2.41
114,San Patricio,90,MX,1580603323,69,19.22,-104.7,27.0,1.35
115,Saint-Joseph,0,RE,1580603324,83,-21.37,55.62,25.0,1.5
116,Buraidah,0,SA,1580603324,52,26.33,43.98,5.0,1.5
117,Dubica,27,BA,1580603324,66,45.18,16.81,9.0,4.1
118,Narsaq,0,GL,1580603324,49,60.92,-46.05,-19.0,2.1
119,Katsuura,20,JP,1580603324,36,35.13,140.3,10.56,8.7
120,Senanga,99,ZM,1580603325,93,-16.12,23.27,19.11,2.17
121,Innisfail,74,AU,1580603325,87,-17.53,146.03,23.33,2.68
122,Clyde River,1,CA,1580603325,73,70.47,-68.59,-35.0,5.7
123,Coahuayana Viejo,90,MX,1580603325,73,18.73,-103.68,23.0,1.17
124,Aklavik,20,CA,1580603325,61,68.22,-135.01,-30.0,2.1
125,Hamilton,40,US,1580603103,80,39.18,-84.53,4.44,3.1
126,Carolina,20,PR,1580603326,74,18.38,-65.96,26.0,3.1
127,Chicama,75,PE,1580603326,88,-7.84,-79.15,22.0,3.1
128,Lambarene,90,GA,1580603326,95,-0.7,10.24,23.57,0.68
129,Qashyr,0,KZ,1580603326,83,53.07,76.1,-17.29,2.85
130,Half Moon Bay,40,US,1580603326,72,37.46,-122.43,20.56,4.81
131,Stepnyak,0,KZ,1580603327,71,52.83,70.78,-12.37,3.6
132,Nyurba,96,RU,1580603327,98,63.28,118.33,-32.62,1.21
133,Kaeo,18,NZ,1580603327,62,-35.1,173.78,33.33,1.79
134,Churapcha,84,RU,1580603327,97,62.0,132.43,-32.38,2.35
135,Saint-Pierre,0,RE,1580603327,83,-21.34,55.48,25.0,1.5
136,Ossora,0,RU,1580603328,79,59.24,163.07,-23.04,4.1
137,Severo-Kuril'sk,0,RU,1580603328,73,50.68,156.12,-7.01,6.15
138,Mandalgovi,0,MN,1580603328,73,45.76,106.27,-22.14,4.35
139,Necochea,38,AR,1580603207,48,-38.55,-58.74,26.11,5.81
140,Changde,100,CN,1580603329,93,29.05,111.68,7.6,1.93
141,Altay,99,CN,1580603329,37,47.87,88.12,-12.37,2.07
142,Yeppoon,13,AU,1580603329,55,-23.13,150.73,31.0,4.1
143,Humaita,99,BR,1580603329,79,-7.51,-63.02,27.37,0.85
144,Souillac,75,MU,1580603330,83,-20.52,57.52,26.0,3.1
145,Chandbali,0,IN,1580603330,75,20.78,86.77,21.11,4.32
146,Labuhan,99,ID,1580603330,88,-6.88,112.21,25.0,1.2
147,Kimbe,100,PG,1580603330,80,-5.55,150.14,28.36,1.17
148,Zaraza,21,VE,1580603331,70,9.35,-65.32,25.54,5.18
149,Buala,93,SB,1580603331,74,-8.14,159.59,29.61,7.37
150,Bambous Virieux,75,MU,1580603331,83,-20.34,57.76,26.0,3.1
151,Faanui,86,PF,1580603331,78,-16.48,-151.75,28.08,11.47
152,Asau,76,RO,1580603331,62,46.43,26.4,12.0,1.0
153,Pag,75,HR,1580603331,100,44.45,15.06,12.0,5.1
154,Beloha,0,MG,1580603332,76,-25.17,45.05,23.92,5.07
155,Arman,0,RU,1580603332,80,59.7,150.17,-19.1,3.19
156,Turukhansk,0,RU,1580603332,89,65.82,87.98,-34.1,2.34
157,Bethel,90,US,1580603088,86,41.37,-73.41,4.44,1.5
158,Hambantota,96,LK,1580603332,77,6.12,81.12,24.78,7.69
159,Kakonko,76,TZ,1580603332,95,-3.28,30.96,16.4,1.03
160,Samarkand,100,UZ,1580603216,45,39.65,66.96,6.0,5.1
161,Talnakh,23,RU,1580603333,74,69.49,88.4,-33.0,2.0
162,Bilma,27,NE,1580603333,22,18.69,12.92,13.88,1.34
163,Luderitz,25,NA,1580603333,88,-26.65,15.16,17.42,11.22
164,Nhulunbuy,100,AU,1580603334,74,-12.23,136.77,30.0,4.1
165,Port Hardy,75,CA,1580603334,74,50.7,-127.42,3.0,3.6
166,Isangel,75,VU,1580603334,70,-19.55,169.27,31.0,4.1
167,Itarema,0,BR,1580603334,84,-2.92,-39.92,24.4,1.73
168,Saskylakh,4,RU,1580603334,92,71.92,114.08,-33.94,3.03
169,Kharitonovo,84,RU,1580603334,99,61.4,47.5,-20.42,1.42
170,Campeni,90,RO,1580603335,93,46.37,23.05,4.0,1.0
171,Soe,100,ID,1580603335,73,-9.86,124.28,26.46,0.68
172,Christchurch,77,NZ,1580603282,31,-43.53,172.63,34.44,8.7
173,Arrondissement de Lannion,100,FR,1580603335,93,48.75,-3.42,12.22,5.7
174,Ancud,0,CL,1580603336,76,-41.87,-73.82,13.0,3.1
175,Tulungagung,99,ID,1580603336,88,-8.07,111.9,24.56,1.44
176,Margate,67,GB,1580603336,87,51.38,1.39,8.0,5.7
177,Chino Valley,1,US,1580603336,17,34.76,-112.45,21.67,1.73
178,Erenhot,83,CN,1580603336,75,43.65,111.98,-14.77,4.71
179,Damaturu,0,NG,1580603336,16,11.75,11.96,16.7,3.75
180,Padang,96,ID,1580603337,91,-0.95,100.35,20.97,2.76
181,Cabo San Lucas,90,MX,1580603106,60,22.89,-109.91,22.0,1.5
182,Kayerkan,38,RU,1580603337,74,69.35,87.76,-33.0,2.0
183,Ust-Kuyga,96,RU,1580603337,99,70.02,135.6,-32.42,2.01
184,Beira,12,MZ,1580603337,75,-19.84,34.84,27.62,5.19
185,Geraldton,8,AU,1580603337,20,-28.77,114.6,30.0,13.9
186,Peleduy,100,RU,1580603338,99,59.63,112.74,-28.59,0.3
187,Fairbanks,1,US,1580603175,82,64.84,-147.72,-27.22,1.25
188,Dunedin,100,NZ,1580603273,98,-45.87,170.5,13.39,3.19
189,Paita,40,PE,1580603338,100,-5.09,-81.11,17.0,3.6
190,Luziania,20,BR,1580603338,61,-16.25,-47.95,26.0,1.5
191,Puerto del Rosario,20,ES,1580603339,88,28.5,-13.86,18.0,4.1
192,Tingo Maria,99,PE,1580603339,98,-9.29,-76.01,16.52,0.83
193,Sitka,90,US,1580603339,92,57.05,-135.33,-1.0,3.1
194,North Myrtle Beach,90,US,1580603339,87,33.82,-78.68,9.44,2.6
195,Isfana,97,KG,1580603339,74,39.84,69.53,1.0,3.0
196,Merauke,49,ID,1580603105,72,-8.47,140.33,29.34,2.87
197,Yakeshi,0,CN,1580603340,94,49.28,120.73,-29.39,2.83
198,Ribeira Grande,100,PT,1580603340,76,38.52,-28.7,13.18,5.59
199,Alvdal,45,NO,1580603340,85,62.11,10.63,-4.0,3.1
200,Havre-Saint-Pierre,90,CA,1580603340,85,50.23,-63.6,-8.0,4.6
201,Ubari,0,LY,1580603341,25,26.59,12.78,16.26,4.02
202,Hakkari,0,TR,1580603341,77,37.58,44.17,-14.89,1.41
203,Babina,0,IN,1580603341,66,25.25,78.47,10.04,1.56
204,Acari,68,PE,1580603341,80,-15.43,-74.62,20.58,1.7
205,Lethem,23,GY,1580603341,46,3.38,-59.8,29.6,5.75
206,Viedma,0,AR,1580603142,16,-40.81,-63.0,30.87,4.7
207,Luebo,100,CD,1580603342,94,-5.35,21.42,21.64,0.58
208,Opuwo,90,NA,1580603342,55,-18.06,13.84,21.41,1.74
209,Laguna,1,US,1580603342,63,38.42,-121.42,20.0,2.1
210,Khasan,0,RU,1580603342,64,42.43,130.64,-8.97,2.98
211,Sur,7,OM,1580603343,62,22.57,59.53,17.88,2.21
212,Manado,40,ID,1580603129,94,1.49,124.85,27.0,0.5
213,Klamath Falls,1,US,1580603343,25,42.22,-121.78,12.22,6.7
214,Fortuna,90,US,1580603343,93,40.6,-124.16,14.44,2.14
215,Tukrah,75,LY,1580603343,81,32.53,20.58,12.42,0.9
216,Verkhnyaya Inta,100,RU,1580603344,96,65.98,60.31,-17.27,4.16
217,Oodweyne,59,SO,1580603344,46,9.41,45.06,18.04,2.29
218,Guerrero Negro,0,MX,1580603344,16,27.98,-114.06,25.57,3.2
219,Xinxiang,74,CN,1580603291,59,35.31,113.87,2.56,0.62
220,Onega,89,RU,1580603344,95,63.91,38.14,-19.58,6.33
221,Cancun,75,MX,1580603296,100,21.17,-86.85,22.0,3.1
222,Saint Anthony,20,US,1580603345,69,45.02,-93.22,2.0,4.1
223,Methoni,20,GR,1580603345,87,36.82,21.7,12.22,2.1
224,Napier,0,NZ,1580603114,38,-39.48,176.92,32.22,3.13
225,Hithadhoo,100,MV,1580603345,71,-0.6,73.08,27.98,5.82
226,Kalmunai,81,LK,1580603345,72,7.42,81.82,26.49,5.93
227,Nago,1,JP,1580603345,67,26.59,127.98,17.0,2.1
228,Norrtaelje,75,SE,1580603346,100,59.76,18.7,6.67,6.7
229,Ponta Delgada,75,PT,1580603346,93,37.73,-25.67,15.0,4.1
230,Upernavik,63,GL,1580603346,96,72.79,-56.15,-31.91,4.26
231,Hong Kong,40,HK,1580603346,72,22.29,114.16,17.0,7.2
232,Zhanakorgan,100,KZ,1580603346,46,43.91,67.25,4.95,5.21
233,Kieta,90,PG,1580603347,74,-6.22,155.63,29.69,7.64
234,Sabang,100,ID,1580603347,75,5.89,95.32,28.31,7.09
235,Fort-Shevchenko,97,KZ,1580603347,92,44.51,50.26,0.5,4.96
236,Meridian,1,US,1580603347,81,43.61,-116.39,11.11,2.6
